,Nombre_Institucion,Provincia,Canton,Parroquia,Numero_de_estudiantes,Numero_de_docentes
178,ANTONIA PROAÑO DE SANCHEZ,EL ORO,EL GUABO,BARBONES (SUCRE),62,8
179,CORONEL JOSE MADERO VARGAS,EL ORO,EL GUABO,TENDALES,131,7
181,GRAN COLOMBIA,EL ORO,EL GUABO,TENDALES,235,18
182,CARLOS NAPOLEON MERA,EL ORO,EL GUABO,TENDALES,77,2
183,DR. ROMULO CEDILLO ZEA,EL ORO,EL GUABO,BARBONES (SUCRE),37,4
184,CORAZON DE MARIA,EL ORO,EL GUABO,EL GUABO,14,2
185,REPUBLICA DE ESPAÑA,EL ORO,EL GUABO,TENDALES,13,3
186,JAMBELI,EL ORO,EL GUABO,TENDALES,331,19
187,JOSE HOMERO SERRANO RAMIREZ,EL ORO,EL GUABO,RIO BONITO,40,4
189,POMPEYO FERNANDEZ MARQUEZ,EL ORO,EL GUABO,RIO BONITO,50,7
190,EL PARAISO,EL ORO,EL GUABO,RIO BONITO,32,3
191,14 DE JULIO,EL ORO,EL GUABO,RIO BONITO,31,3
192,CIUDAD DE MACHALA,EL ORO,EL GUABO,RIO BONITO,81,6
193,WILSON BETANCOURT,EL ORO,EL GUABO,RIO BONITO,120,7
194,TENIENTE GUSTAVO LEDESMA,EL ORO,EL GUABO,RIO BONITO,34,5
195,JUAN SEMIGLIA,EL ORO,EL GUABO,RIO BONITO,142,12
197,ANGEL RIZZO SBRECIA,EL ORO,EL GUABO,RIO BONITO,109,7
198,MANUEL ISAAC ENCALADA ZUÑIGA,EL ORO,EL GUABO,RIO BONITO,286,31
200,DR EUGENIO ESPEJO  35,EL ORO,EL GUABO,RIO BONITO,108,8
201,TULA PEREZ DE VALENCIA,EL ORO,EL GUABO,RIO BONITO,266,14
202,DR CARLOS CORNEJO ORBE,EL ORO,EL GUABO,RIO BONITO,254,14
204,VICENTE  MAYA  2,EL ORO,EL GUABO,EL GUABO,318,10
206,MAXIMILIANO PEÑALOZA CASTRO,EL ORO,HUAQUILLAS,ECUADOR,205,9
207,JOSE ANSELMO GARCIA CAJAMARCA,EL ORO,HUAQUILLAS,ECUADOR,450,20
208,ANGEL POLIVIO MARQUEZ PACHECO,EL ORO,HUAQUILLAS,ECUADOR,605,22
209,16 DE JULIO,EL ORO,HUAQUILLAS,EL PARAISO,206,10
210,JUAN MONTALVO,EL ORO,HUAQUILLAS,MILTON REYES,124,17
212,ALEJANDRO CAMPOVERDE ANDRADE,EL ORO,HUAQUILLAS,MILTON REYES,36,4
213,JAIME HURTADO GONZALEZ,EL ORO,HUAQUILLAS,UNION LOJANA,212,8
214,PROF NANCY ALBAN CASTRO,EL ORO,HUAQUILLAS,UNION LOJANA,100,5
215,PRESIDENTE JAIME ROLDOS AGUILERA,EL ORO,HUAQUILLAS,UNION LOJANA,414,20
216,DON BOSCO,EL ORO,HUAQUILLAS,UNION LOJANA,272,22
217,ESPIRITU DE SABIDURIA,EL ORO,HUAQUILLAS,UNION LOJANA,154,24
218,PRINCIPE DE PAZ,EL ORO,HUAQUILLAS,UNION LOJANA,153,11
219,SEIS DE OCTUBRE,EL ORO,HUAQUILLAS,ECUADOR,747,43
220,MARIA LEONOR MINUCHE ARMIJOS,EL ORO,HUAQUILLAS,ECUADOR,47,6
221,MANUEL REINALDO BENALCAZAR CASTILLO,EL ORO,HUAQUILLAS,UNION LOJANA,141,9
