,Nombre de la Institución Educativa,Provincia
1178,AURELIO GONZALEZ,LOJA
1179,LOS RIOS N 203,LOJA
1180,RIO MALACATOS,LOJA
1181,ESTHELA MARIA CUENCA DE FERNANDEZ,LOJA
1182,ING JOSE VICENTE BUSTAMANTE ARMIJOS,LOJA
1183,MANUEL CAPA BERMEO,LOJA
1184,TECNICO 12 DE DICIEMBRE,LOJA
1185,LAZARO CARDENAS,LOJA
1186,COLEGIO ARTESANAL FRANCISCO CELI BARBA,LOJA
1187,UNIDAD EDUCATIVA A DISTANCIA DE LOJA EXTENSION LA DOLOROSA,LOJA
1188,CASPICARA,LOJA
1189,MEXICO,LOJA
1190,JUAN JOSE CASTILLO CELI,LOJA
1191,CHAGUARPAMBA,LOJA
1192,MANUEL CABRERA LOZANO,LOJA
1193,CARLOS LUDEÑA,LOJA
1194,CELSA FILOTEA MOCHA ORDOÑEZ,LOJA
1195,INSTITUCIÓN  FISCOMISIONAL LA DOLOROSA,LOJA
1196,8 DE ABRIL,LOJA
1197,HERMANO LUIS VINUEZA PAVON,LOJA
1198,MARIA LALANGUI,LOJA
1199,QUISQUIS,LOJA
1200,PALTAS,LOJA
1201,NICOLAS AVELLANEDA,LOJA
1202,CIUDAD DE CATACOCHA,LOJA
1203,OLIMPIA MENDIETA,LOJA
1204,RIO PINDO,LOJA
1205,JOSE LINO PALACIOS,LOJA
1206,GERTRUDIS PIEDRA,LOJA
1207,FILOMENA FLORES,LOJA
1208,ISABEL MARIA LIZALDEZ DE TRUJILLO,LOJA
1209,MIGUEL DE CERVANTES,LOJA
1210,COLEGIO TECNICO AGROPECUARIO CHAGUARPAMBA,LOJA
1211,CINCO DE JUNIO,LOJA
1212,CORONEL VIRGILIO GUERRERO,LOJA
1213,WINSTON CHURCHILL,LOJA
1214,ROSITA PAREDES JUMBO,LOJA
1215,CARLOS MIGUEL CASTILLO,LOJA
1216,UNIDAD EDUCATIVA A DISTANCIA DE LOJA EXTENSION LOZUMBE,LOJA
1217,MATILDE HIDALGO DE PROCEL,LOJA
1218,JULIO MOISES CORDOVA ROJAS,LOJA
1219,DR. BENIGNO VALDIVIEZO,LOJA
1220,MIGUEL ANTONIO CANO MADRID,LOJA
1221,SEGUNDO PUERTAS MORENO,LOJA
1222,HOMERO AYALA,LOJA
1223,QUITO LUZ DE AMERICA,LOJA
1224,CONDORAZO,LOJA
1225,MIGUEL OCAMIDORO LARGO,LOJA
1226,MIREYA VILLAMAGUA,LOJA
1227,CARMELINA ROMAN TINOCO,LOJA
1228,CALICUCHIMA,LOJA
1229,12 DE FEBRERO,LOJA
1230,DR JORGE CASTILLO CARRION,LOJA
1231,EDISON,LOJA
1232,DR  JUAN FRANCISCO ONTANEDA,LOJA
1233,CELIANO AVILA PENA,LOJA
1234,BARBARA GUARNIZO,LOJA
1235,PUCARA,LOJA
