,Nombre de la Institución Educativa,Provincia
1965,CIUDAD DE ASUNCION,LOJA
1966,HUMBERTO VACA GOMEZ,LOJA
1967,GRECIA,LOJA
1968,CIUDAD DE MANAGUA,LOJA
1969,LUZ TORRES DE LUDENA,LOJA
1970,PROFESORA ROSARIO PALACIOS,LOJA
1971,SANTOS EFRAIN ELIZALDE,LOJA
1972,DR JOSE MIGUEL MORA REYES,LOJA
1973,D  BERNARDO RIOFRIO,LOJA
1974,REPUBLICA DE SURINAN,LOJA
1975,PROVINCIA DE PAZTAZA,LOJA
1976,ESCUELA FISCAL MIXTA BOGOTA,LOJA
1977,COLEGIO TECNICO AGROPECUARIO ORIANGA,LOJA
1978,SENDEROS DEL SABER,LOJA
1979,BRAULIO BARILLAS,LOJA
1980,BENJAMIN AYORA,LOJA
1981,ABRAHAM LINCOLN,LOJA
1982,CIUDAD DE PINDAL,LOJA
1983,LUZ ANGELICA MARTINEZ,LOJA
1984,NATIVIDAD PARRALES,LOJA
1985,MANUEL ELICIO FLOR,LOJA
1986,SOLDADO VICENTE ARNULFO ROSERO PALACIOS,LOJA
1987,JOSE MIGUEL ZARATE,LOJA
1988,COLEGIO RAMON RIOFRIO BUSTAMANTE,LOJA
1989,JUAN PIO MONTUFAR,LOJA
1990,SEGUNDO CUEVA CELI,LOJA
1991,ROSA ELENA TRANSITO AMAGUAÑA,LOJA
1992,ANTONIO NEUMANE,LOJA
1993,MONTECRISTI,LOJA
1994,FRAY JODOCO RICKE,LOJA
1995,DOLORES SUCRE,LOJA
1996,VICTOR EFREN PILCO,LOJA
1997,MAURO BUSTAMANTE,LOJA
1998,PEDRO JOSE ARTETA,LOJA
1999,TUNGURAHUA,LOJA
2000,SIN NOMBRE  3 DE NOVIEMBRE,LOJA
2001,CLOTARIO PAZ PALADINES,LOJA
2002,FERNANDO ARTIEDA MIRANDA,LOJA
2003,ANGEL SALVADOR VALAREZO REYES,LOJA
2004,SIN NOMBRE,LOJA
2005,SUBTENIENTE ANGEL RAUL RAMIREZ SANDOYA,LOJA
2006,ESCUELA REINA DEL CISNE,LOJA
2007,AMABLE GUILLERMO AYORA BERNAL,LOJA
2008,VICTOR MIGUEL MONCAYO PALACIOS,LOJA
2009,SUA (LAS PENAS),LOJA
2010,CAPITAN ELIA LIUT,LOJA
2011,ELENA DE TROYA,LOJA
2012,CIUDAD DE ROMA,LOJA
2013,JOSE RODRIGUEZ DE LA BANDERA,LOJA
2014,SEÑOR MANUEL EUDOLIO GRANDA,LOJA
2015,JAMBELI,LOJA
2016,ESCUELA CACHA,LOJA
2017,SIMON ROJAS,LOJA
2018,LUIS MIGUEL JIMENEZ OCHOA,LOJA
2019,OLGA MARINA GONZALEZ GRANDA,LOJA
2020,NARCISA DE JESUS MARTILLO MORAN,LOJA
2021,EDUARDO HANNER,LOJA
2022,ZOILA RENDON DE MOSQUERA,LOJA
2023,SR LUIS FELIPE REQUENES,LOJA
2024,JOSE MARIA URBINA,LOJA
2025,LUIS URDANETA,LOJA
2026,CLEOTILDE GRANDA RIOFRIO,LOJA
2027,COLEGIO NACIONAL PINDAL,LOJA
2028,GENERAL PILLAGUAZO,LOJA
2029,RAMON PINTO GUZMAN,LOJA
2030,MARCO SEGUNDO ESPINOZA PINDAY,LOJA
2031,UNIDAD EDUCATIVA A DISTANCIA DE LOJA EXTENSION DR LAUTARO LOAIZA,LOJA
2032,ALFREDO PEREZ GUERRERO,LOJA
2033,JARDIN DE INFANTES MARIA ANGELICA IDROVO,LOJA
2034,JORGE ISAAC,LOJA
2035,ROSALIA VACA DE VARGAS,LOJA
2036,LA SUPERACION,LOJA
2037,EL PROGRESO,LOJA
2038,CIUDAD DE QUITO,LOJA
2039,VÍCTOR MANUEL PEÑAHERRERA,LOJA
2040,MANUEL QUIROGA,LOJA
2041,DOS DE AGOSTO,LOJA
2042,SEGUNDO MIGUEL SALAZAR,LOJA
2043,HEROES DE 1941,LOJA
2044,LA ZARZA,LOJA
2045,JOSE CLODOVEO CARDENAS,LOJA
2046,JUAN JACOBO ROUSSEAU,LOJA
2047,RIO AMAZONAS,LOJA
2048,RAMON SAMANIEGO PALACIOS,LOJA
2049,PABLO NERUDA,LOJA
2050,RIO MACARA,LOJA
2051,LUIS NAPOLEON DILLON,LOJA
2052,PAULO FREIRE,LOJA
2053,REPUBLICA DE HONDURAS,LOJA
2054,CORDILLERA DEL CONDOR,LOJA
2055,MARCOS OCHOA MUÑOZ,LOJA
2056,ANGEL MINOS GRANDA,LOJA
2057,CENTRO DE FORMACIÓN ARTESANAL VICENTINO,LOJA
2058,COSME RENELLA,LOJA
2059,ISLA PUNA,LOJA
2060,RIO CENEPA,LOJA
2061,FLORA OCHOA LUDEÑA,LOJA
2062,RIO MATAJE,LOJA
2063,CAMILO BUENAVENTURA PINZA,LOJA
2064,RIO TIWINSA,LOJA
2065,REPUBLICA DE NICARAGUA,LOJA
2066,SANTIAGO RAMON Y CAJAL,LOJA
2067,MANUEL CARRION PINZANO,LOJA
2068,8 DE DICIEMBRE,LOJA
2069,ALONSO DE MERCADILLO,LOJA
2070,LUCIANO BENJAMIN CABRERA,LOJA
2071,MODESTO CHAVEZ FRANCO,LOJA
2072,ALONSO DE MERCADILLO,LOJA
2073,RIO PUYANGO,LOJA
2074,MANUEL AGUSTIN AGUIRRE,LOJA
2075,CARLOS GARBAY MONTESDEOCA,LOJA
2076,OCHO DE SEPTIEMBRE,LOJA
2077,PROFESORA ELVIA LUZURIAGA,LOJA
2078,AUGUSTO COMPTE,LOJA
2079,LA LIBERTAD,LOJA
2080,CORONEL FRANCISCO CALDERON,LOJA
2081,MIGUEL ANGEL ALBORNOZ,LOJA
2082,CESAR DAVILA ANDRADE,LOJA
2083,DANIEL VELEZ,LOJA
2084,ECUADOR AMAZONICO,LOJA
2085,CARLOS ZAMBRANO,LOJA
2086,BATALLON ESPAÑA,LOJA
2087,5 DE ABRIL,LOJA
2088,JUAN PABLO SAENZ,LOJA
2089,EMILIO DURKEIN,LOJA
2090,COLEGIO LAUTARO VICENTE LOAYZA,LOJA
2091,FRANCISCO LECARO PEREZ,LOJA
2092,CUATRO DE OCTUBRE,LOJA
2093,SANTIAGO DE LAS MONTAÑAS,LOJA
2094,PABLO NERUDA,LOJA
2095,ABDON CALDERON MUÑOZ,LOJA
2096,JULIO ISAAC ESPINOSA OCHOA,LOJA
2097,RIO CHINCHIPE,LOJA
2098,PEDRO PARRALES,LOJA
2099,MANUELA DE ALCALA SANCHEZ,LOJA
2100,PROFESORA MARIA LIVIA GRANDA,LOJA
2101,MARLENE SALCEDO DE CASTILLO,LOJA
2102,JOSE GABRIEL CAIZA MORALES,LOJA
2103,DOS DE AGOSTO,LOJA
2104,UNIDAD EDUCATIVA A DISTANCIA DE LOJA EXT PADRE FERNANDO PEÑAHERRE,LOJA
2105,CENTRO DE FORMACION ARTESANAL   ALAMOR,LOJA
2106,CORDILLERA DE AMBOCAS,LOJA
2107,GRAN COLOMBIA,LOJA
2108,PABLO PALACIO,LOJA
2109,CAPITAN GALO MOLINA,LOJA
2110,JULIO CESAR LARREA,LOJA
2111,REPUBLICA DEL PARAGUAY,LOJA
2112,CRISTOBAL OJEDA DAVILA,LOJA
2113,RAFAEL HUMBERTO VEGA,LOJA
2114,DEMETRIO AGUILERA MALTA,LOJA
2115,ELOY ALFARO,LOJA
2116,CORDILLERA DE CHILLA,LOJA
2117,JHON STUART MILL,LOJA
2118,LUIS FRIAS,LOJA
2119,JOSE LUCAS CALDERON CUEVA,LOJA
2120,TECNICO PUYANGO,LOJA
2121,GIOVANNI PATRICIO CALLES LASCANO,LOJA
2122,ARISTOTELES,LOJA
2123,ESCUELA  FISCAL MIXTA CUMANA,LOJA
2124,MARIA AMADA ULLOA,LOJA
2125,SARGENTO TOBAR,LOJA
2126,VICTOR HUGO JUMBO CUEVA,LOJA
2127,SANTIAGO DE LAS MONTAÑAS,LOJA
2128,GUSTAVO LEDESMA VASQUEZ,LOJA
2129,JHON LOOCK,LOJA
2130,PRINCESA PACCHA,LOJA
2131,RIO COCA,LOJA
2132,CUXIBAMBA,LOJA
2133,ANTONIO RICAURTE,LOJA
2134,RUPERTO ALARCON FALCONI,LOJA
2135,VICENTE OLMEDO,LOJA
2136,ESCUELA  FISCAL MIXTA RIO AGUARICO,LOJA
2137,JULIO ALBERTO PAREDES,LOJA
2138,ANGEL PALACIO,LOJA
2139,EL LIMO,LOJA
2140,SUBTENIENTE CESAR EDMUNDO CHIRIBOGA,LOJA
2141,08 DE  MARZO,LOJA
2142,VICTOR MANUEL CARRION,LOJA
2143,NICASIO SAFADI,LOJA
2144,CARLOS MANUEL OJEDA PALACIOS,LOJA
2145,FRANCISCO JAVIER RIOFRIO,LOJA
2146,RIO PUTUMAYO,LOJA
2147,AGUSTIN MENDIETA,LOJA
2148,MANUEL CARRION PINZANO,LOJA
2149,INES JIMENEZ,LOJA
2150,IGNACIO ALCOCER,LOJA
2151,JOSE MEJIA LEQUERICA,LOJA
2152,ISLA SANTA CRUZ,LOJA
2153,FRANCIA,LOJA
2154,JOAQUIN AÑAZCO,LOJA
2155,JOSE FAUSTO DE LA CUEVA,LOJA
2156,CAUPOLICAN,LOJA
2157,EFREN ROJAS LUDEÑA,LOJA
2158,DOCTOR LUIS FELIPE MORA,LOJA
2159,UNIDAD EDUCATIVA A DISTANCIA  DE LOJA EXTENSION 3 DE JUNIO,LOJA
2160,ROSARIO G DE MURILLO,LOJA
2161,COLEGIO TECNICO AGROPECUARIO QUILANGA,LOJA
2162,MANUEL ZAMBRANO,LOJA
2163,LUIS ALBERTO SOTOMAYOR SEDE RED ESCOLAR AUTONOMA RURAL FUNDOCHAMBA,LOJA
2164,JUAN CUEVA GARCIA,LOJA
2165,JUAN MANOSALVAS,LOJA
2166,VITERI FROILAN JIMENEZ GRANDA,LOJA
2167,COLEGIO TECNICO AGROPECUARIO LIC  MIGUEL ANTOLIANO SALINAS JARAMILLO,LOJA
2168,ALFONSO MEJIA,LOJA
2169,30  DE SEPTIEMBRE,LOJA
2170,HERNANDO DE SANTILLAN,LOJA
2171,ISLA SAN CRISTOBAL,LOJA
2172,JOSE ESPIRITU SANTO CORREA,LOJA
2173,RVDO  DR: SEGUNDO IGNACIO GODOY,LOJA
2174,FRANCISCO TERAN,LOJA
2175,JUVENAL SALINAS,LOJA
2176,KUNAN KAWSAY,LOJA
2177,FAUSTINO ROMERO ORDOÑEZ,LOJA
2178,ESCUELA FISCAL MIXTA INGAPIRCA,LOJA
2179,HERMANA ROSA ELVIRA ESPEJO,LOJA
2180,REINO DE QUITO,LOJA
2181,MANUEL AURELIO ESPINOZA,LOJA
2182,FIERROHURCO,LOJA
2183,MANUEL CRUZ MUÑOZ MUÑOZ,LOJA
2184,CARLOS MARIA DE LAS CONDAMINE,LOJA
2185,AMADEO VIVAR,LOJA
2186,BELISARIO MORENO,LOJA
2187,MARIA FLORINDA ARMIJOS,LOJA
2188,NAPOLEON BONAPARTE,LOJA
2189,CAZADORES DE LOS RIOS,LOJA
2190,MARIA RICARDA DE CHALAN,LOJA
2191,GRAD MIGUEL ITURRALDE,LOJA
2192,TORRICELLI,LOJA
2193,SEGISMUNDO FREUD,LOJA
2194,COLEGIO PROFESOR VIRGILIO ABARCA MONTESINOS,LOJA
2195,MARISCAL SUCRE,LOJA
2196,INTI RAYMI,LOJA
2197,WAYNA  KAPAK,LOJA
2198,JOSE MIGUEL ZHINGRE MEDINA,LOJA
2199,RUKUKUNAPAK  TANTARINA  WASI,LOJA
2200,UE INKA SAMANA,LOJA
2201,INKA WASI,LOJA
2202,YAGUARZONGO,LOJA
2203,KURI SARA LLAKTA,LOJA
2204,HATARI YUYAY,LOJA
2205,TUPAK YUPANKI,LOJA
2206,LAGO DE SAN PABLO,LOJA
2207,SAN FRANCISCO,LOJA
2208,SUMAK LLAKTA,LOJA
2209,10 DE MARZO,LOJA
2210,INSTITUTO TECNOLOGICO SUPERIOR SARAGURO,LOJA
2211,NUKANCHIK KAWSAY,LOJA
2212,CELINA VIVAR ESPINOSA ITS,LOJA
2213,PURIFICACION ORTIZ  HNAS MARIANITAS,LOJA
2214,FRANCISCANA FRAY CRISTÓBAL ZAMBRANO,LOJA
2215,CENTRO ARTESANAL SARAGURO (MATRIZ),LOJA
2216,SAN JOSE DE CALASANZ,LOJA
2217,DIVINO NIÑO JESUS,LOJA
2218,ROSA MARIA GUZMAN DE TORRES,LOJA
2219,ÁNGEL MARIA ÁVILA QUISHPE,LOJA
2220,AMAWTA HATARI,LOJA
2221,PRIMICIAS DE LA CULTURA DE QUITO,LOJA
2222,JAIME BEJARANO,LOJA
2223,KAWSAY ÑAN,LOJA
2224,MONS. BOLIVAR JARAMILLO,LOJA
2225,ALBERTO GUERRERO MARTINEZ,LOJA
2226,CISNE ÑAN,LOJA
2227,GUSTAVO ADOLFO OTERO,LOJA
2228,SISA  LLAKTA,LOJA
2229,MUSHUC ÑAN,LOJA
2230,ROBERTO MUÑOZ MALO,LOJA
2231,PEDRO VICENTE MALDONADO,LOJA
2232,PADRE LUIS FELIPE ORDOÑEZ,LOJA
2233,MARIANO CUEVA,LOJA
2234,EL VERGEL,LOJA
2235,ESCUELA FISCAL MIXTA FRANCISCO CAMPOS,LOJA
2236,AYUDA FRATERNA,LOJA
2237,OMAR TORRIJOS,LOJA
2238,PANUPALI,LOJA
2239,JOSE DE ANTEPARA,LOJA
2240,LUIS MOGROVEJO QUEVEDO,LOJA
2241,UNIDAD EDUCATIVA INTERCULTURAL BILINGUE ABC,LOJA
2242,JOSE MARIA ANDRADE,LOJA
2243,INTIPAK  CHURI,LOJA
2244,JUAN OCAMPO,LOJA
2245,JUAN AUGUSTO CHALAN,LOJA
2246,SEÑOR DE LOS MILAGROS,LOJA
2247,AGUINALDO CASTILLO,LOJA
2248,DOCTOR HUGO VIVAR FLORES,LOJA
2249,DR VICTOR VIVAR ESPINOZA,LOJA
2250,DR. LUCIANO LASSO ORTEGA,LOJA
2251,MANUEL BENIGNO CABRERA,LOJA
2252,LATACUNGA,LOJA
2253,CIUDAD DE TENA,LOJA
2254,LUIS ANTONIO MONTESINOS,LOJA
2255,JUAN PEDRO RAMON RAMIREZ,LOJA
2256,FRANCISCO ARIAS,LOJA
2257,SAN LUIS DE CURIACU,LOJA
2258,JOSE ORTEGA  Y GASSET,LOJA
2259,MANUEL JUVENTINO MUÑOZ,LOJA
2260,ESCUELA CARLOS FREIRE ZALDUMBIDE,LOJA
2261,VICENTE BASTIDAS REINOSO,LOJA
2262,RIO TIGRE,LOJA
2263,ROSALINO MONTAÑO ARMIJOS,LOJA
2264,29 DE JUNIO,LOJA
2265,CIUDAD DE ZUMBA,LOJA
2266,JUANITA COLLAHUAZO PAEZ,LOJA
2267,UNIDAD EDUCATIVA A DISTANCIA DE LOJA EXTENSIÓN PADRE ASDRUBAL ASTUDILL,LOJA
2268,ORILLAS DEL JUBONES,LOJA
2269,FIDEL ANTONIO SARAGURO,LOJA
2270,MACHALA,LOJA
2271,LIMAPAMBA,LOJA
2272,CIUDAD SARAGURO,LOJA
2273,CENTRO DE FORMACION ARTESANAL FISCAL MANU,LOJA
2274,MARIA ISOLINA MACAS,LOJA
2275,UNIDAD EDUCATIVA A DISTANCIA DE LOJA EXTENSION REINA DE EL CISNE,LOJA
2276,HUALCOPO DUCHICELA,LOJA
2277,MANUEL JARAMILLO TINOCO,LOJA
2278,FAUSTO GODOFREDO PACHAR LAZO,LOJA
2279,ANGEL JUVENAL SERRANO MORENO,LOJA
2280,MERCEDES GONZALEZ DE MOSCOSO,LOJA
2281,RIO MARAÑON,LOJA
2282,PROF. WILSON PALACIO SALCEDO,LOJA
2283,NUVE DEL CARMEN JUMBO SARANGO,LOJA
2284,GENERAL PLAZA,LOJA
2285,DARIO CISNEROS,LOJA
2286,DR. JOSE MARIA MONTESINOS VIVAR,LOJA
2287,AGUSTIN CELI,LOJA
2288,GRAL. JOSE DE VILLAMIL,LOJA
2289,NATAL ORELLANA,LOJA
2290,CIUDAD DE SANTA MARIA DE LEIVA,LOJA
2291,COLEGIO TECNICO AGROPECUARIO MANU,LOJA
2292,MAXIMILIANO WITT,LOJA
2293,MARCO AURELIO SUBÍA MARTINEZ,LOJA
2294,UNIDAD EDUCATIVA A DISTANCIA DE LOJA  EXTENSIÓN CHINCHANGA,LOJA
2295,DR. ERNESTO ALBAN GOMEZ,LOJA
2296,IGNACIO DE VEINTIMILLA,LOJA
2297,CENTINELA DEL SUR,LOJA
2298,LIC JOSÉ VICENTE MASACHE CUEVA,LOJA
2299,EL PORVENIR,LOJA
2300,NUEVA ESPERANZA,LOJA
2301,EDUCAR PARA EL FUTURO,LOJA
2302,ESTRELLAS DEL FUTURO,LOJA
2303,REINA DEL CARMEN,LOJA
2304,EDUCAR PARA EL FUTURO,LOJA
2305,LIC GONZALO VASQUEZ SAMANIEGO,LOJA
2306,ABEL CELI,LOJA
2307,VIRGINIA LUDEÑA ESCUDERO,LOJA
2308,JOSE VICENTE TRUJILLO,LOJA
2309,LUIS EMILIANO FLORES LUZURIAGA,LOJA
2310,6 DE DICIEMBRE,LOJA
2311,CENTRO ARTESANAL EDUARDO ANDRADE JARAMILLO,LOJA
2312,HERMINIA SOTO CELI DE ARIAS,LOJA
2313,QUIJOS,LOJA
2314,FRANCISCO HERBOLARIO SOLANO,LOJA
2315,HERNANDO DE MAGALLANES,LOJA
2316,ANGELA LUZURIAGA,LOJA
2317,ZOILO RODRIGUEZ,LOJA
2318,ERNESTO PINTO CASTILLO,LOJA
2319,SEBASTIAN VALDIVIEZO,LOJA
2320,EGDA MARIA GUERRERO LEON,LOJA
2321,GONZALO PAZ,LOJA
2322,DOLORES CELI,LOJA
2323,LEOPOLDO SAMANIEGO,LOJA
2324,ISAURO JARAMILLO MORA,LOJA
2325,AGUSTIN MOSQUERA CRESPO,LOJA
2326,18 DE NOVIEMBRE,LOJA
2327,HECTOR FAUSTINO JARAMILLO VALDIVIESO,LOJA
2328,CENTRO OCUPACIONAL DE MANUALIDADES DIVINO NIÑO,LOJA
2329,HERMANO MIGUEL,LOJA
2330,JOSE MARIA RIOFRIO VALDIVIEZO,LOJA
2331,MANUEL SAMANIEGO PEÑA,LOJA
2332,CIUDAD DE BAÑOS,LOJA
2333,TRES DE MAYO,LOJA
2334,20 DE DICIEMBRE,LOJA
2335,BARTOLOME RUIZ,LOJA
2336,ALBERTO MENA HIDALGO,LOJA
2337,PADRE RICARDO FERNANDEZ GUAMAN,LOJA
2338,SEGUNDO CORONEL SOTO,LOJA
2339,ESMERALDAS,LOJA
2340,NUEVO PORVENIR,LOJA
2341,DR. OTTO AROSEMENA GOMEZ,LOJA
2342,ESCUELA BENIGNO MALO,LOJA
2343,FLODUARDO LEON ALBAN,LOJA
2344,DR. ANTONIO TRUJILLO,LOJA
2345,SALUSTINO MEDARDO VIÑAN,LOJA
2346,EMILIANO ORTEGA ESPINOZA,LOJA
2347,26 DE SEPTIEMBRE,LOJA
2348,LUIS FELIPE VILLAMIL,LOJA
2349,PERPETUO SOCORRO,LOJA
2350,VIRGILIO ABARCA,LOJA
2351,ALTAR,LOJA
2352,3 DE OCTUBRE,LOJA
2353,LCDO AUGUSTO IZQUIERDO,LOJA
2354,GEOFRE  ABDON  LUZURIAGA,LOJA
2355,MANUEL AGUSTIN AGUIRRE,LOJA
2356,DR. MIGUEL ANGEL AGUIRRE SANCHEZ,LOJA
2357,VICTOR MIGUEL VASQUEZ FLORES,LOJA
2358,MATIAS ESPINOSA AYALA,LOJA
2359,LUIS CARPIO MORA,LOJA
2360,VILLONACO,LOJA
2361,ANTONIO JOSE DE SUCRE,LOJA
2362,JUAN FRANCISCO PINZON,LOJA
2363,LIC. NELSON GARCIA S,LOJA
2364,CAYO MELITÓN CASTILLO SOLANO,LOJA
2365,LIC GONZALO A VASQUEZ S,LOJA
2366,COLEGIO TECNICO FORESTAL DR ZOILO RODRIGUEZ,LOJA
2367,JESUS DEL  GRAN PODER,LOJA
2368,REINA DEL CISNE,LOJA
2369,DAVID VICENTE NAULA,LOJA
2370,JOSE FELIX DE VALDIVIESO,LOJA
2371,ESCUELA FISCAL MIXTA GENERAL  MARIANO VALDIVIESO,LOJA
2372,ZOILA LUZ GONZALES,LOJA
2373,CENTRO DE FORMACION ARTESANAL JOSE ANTONIO CAMPOS,LOJA
2374,HECTOR MANUEL ROJAS,LOJA
2375,MACAS,LOJA
2376,JOSE ANTONIO CAMPOS,LOJA
2377,MAYAYCU,LOJA
2378,DARIO GUEVARA,LOJA
2379,REINA MATERNAL DE LA FRONTERA,LOJA
2380,UNIDAD EDUCATIVA A DISTANCIA DE LOJA EXT  PADRE FRANCO AGUIRRE,LOJA
2381,AMAZONAS,LOJA
2382,RED EDUCATIVA CEIBA CHICA,LOJA
2383,ESCUELA ESPARTA,LOJA
2384,CAPITAN PEDRO BOUGUER,LOJA
2385,COLEGIO NACIONAL ZAPOTILLO,LOJA
2386,SARGENTO ALBERTO PERDOMO ,LOJA
2387,VIRGEN FRONTERIZA,LOJA
2388,PIO DE VALDIVIESO,LOJA
2389,ARTURO CORDOVA GRANDA,LOJA
2390,SGTO ANGEL DAVILA CHAMBA,LOJA
2391,ESCUELA CIUDAD DE CARIAMANGA,LOJA
2392,ESCUELA SOLDADO FRANCISCO A. CORONEL,LOJA
2393,CARACAS,LOJA
2394,ALBERT EINSTEIN,LOJA
2395,JOSE BALDOR,LOJA
2396,RIO GUAYLLABAMBA,LOJA
2397,ESCUELA PINTAC,LOJA
2398,ESCUELA ABDON ARMAS,LOJA
2399,JOSE MIGUEL VALENCIA,LOJA
2400,LUIS FELIPE  BORJA,LOJA
2401,23 DE ENERO,LOJA
2402,NAZACOTA PUENTO,LOJA
2403,VICENTE VALDIVIESO MORA,LOJA
2404,DOLORES VEINTIMILLA DE GALINDO,LOJA
2405,COLEGIO GALO ROLANDO VELEZ RIVERA,LOJA
2406,UNIDAD EDUCATIVA A DISTANCIA DE LOJA EXTENSION MANGAHURQUILLO,LOJA
2407,BATALLON CAYAMBE,LOJA
2408,27 DE FEBRERO,LOJA
2409,PRIMERO DE MAYO,LOJA
2410,GENERAL FRANCISCO ROBLES,LOJA
2411,UNIDAD EDUCATIVA A DISTANCIA DE LOJA EXTENSION JUAN PABLO II,LOJA
2412,MANGAHURCO,LOJA
2413,GREGORIO MARAÑON,LOJA
2414,PLAZA LEDESMA,LOJA
2415,NEVADO COTACACHI,LOJA
2416,CARLOS ALBERTO SANCHEZ GALLO,LOJA
2417,AMERICA ESCUELA FISCAL,LOJA
2418,ORIENTE,LOJA
2419,UNIDAD EDUCATIVA A DISTANCIA DE LOJA TOMAS MONTOYA  CAZADEROS,LOJA
2420,LORENZO DE HEREDIA,LOJA
2421,SLDO SEGUNDO NARVAEZ,LOJA
2422,BARON DE HUMBOLTH,LOJA
2423,NICOLAS BURNEO ARIAS,LOJA
2424,MANUEL FERNANDO GRANDA,LOJA
2425,MANUEL GONZALO BUSTAMANTE BUSTAMANTE,LOJA
2426,BERNARDINA MONCADA MONCADA,LOJA
2427,CABO DANIEL MARTINEZ,LOJA
2428,MARIA GENOVEVA ORTIZ,LOJA
2429,GLORIA VICENTA CHIRIBOGA,LOJA
2430,NICOLAS BURNEO ARIAS,LOJA
2431,SEIS DE DICIEMBRE,LOJA
2432,30 DE AGOSTO,LOJA
2433,BATALLON GENERAL CORDOVA,LOJA
2434,LOS ANDES,LOJA
2435,4 DE AGOSTO,LOJA
2436,ZAMORA,LOJA
2437,VOLUNTAD Y DESARROLLO,LOJA
2438,VICTOR HUGO ENCALADA,LOJA
2439,REPUBLICA DEL SALVADOR,LOJA
2440,ESCUELA 22 DE JULIO,LOJA
2441,PUERTO RICO,LOJA
2442,ING.JULIO GONZALO HIDALGO,LOJA
2443,GABRIEL GARCIA MARQUEZ,LOJA
2444,WILFRIDO VIDAL SANCHEZ,LOJA
2445,LUIS CARPIO MORA,LOJA
2446,ARENILLAS,LOJA
2447,JUAN HERMES REQUENA RAMIREZ,LOJA
2448,DR. TEODORO SANCHEZ,LOJA
2449,ZAPOTILLO,LOJA
2450,FRONTERA SUR,LOJA
2451,FRANCISCO DE ORELLANA,LOJA
2452,CENTINELA DEL SUR,LOJA
